"bucket","bm_1_m_status","bm_2_m_status","electrical_consumtion","electrical_current","electrical_power","electrical_voltage","global_status","heat_material_out","high_product_level_in_shreeder","left_pusher_motor_yv_water","lpc_m_status","master_shaft_drive_heat","master_shaft_drive_yv_water","master_shaft_load","master_shaft_motor_heat","master_shaft_motor_yv_water","master_shaft_speed","master_shaft_torque","number_of_recipe","ob_1_m_status","production_mode","pusher_left_force","pusher_left_load","pusher_left_motor_heat","pusher_left_position","pusher_left_speed","pusher_left_torque","pusher_right_force","pusher_right_load","pusher_right_motor_heat","pusher_right_position","pusher_right_speed","pusher_right_torque","recipe_bst_overheat_info_sp","recipe_bst_overheat_warn_sp","recipe_bst_overload_info_sp","recipe_bst_overload_warn_sp","recipe_bst_speed_sp","recipe_push_down_position_sp","recipe_push_max_load_sp","recipe_push_min_speed_sp","recipe_push_mode_alternative","recipe_push_mode_cross","recipe_push_mode_off","recipe_push_mode_simultaneous","right_pusher_motor_yv_water","rpc_m_status","shaft_counter_h","slave_shaft_drive_heat","slave_shaft_drive_yv_water","slave_shaft_load","slave_shaft_motor_heat","slave_shaft_motor_yv_water","slave_shaft_torque","slaver_shaft_speed","sm_m_status","ss_m_status","weight_pv"
"2022-07-24T13:20:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T13:30:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T13:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T13:50:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T14:00:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T14:10:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T14:20:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T14:30:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T14:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T14:50:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T15:00:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T15:10:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T15:20:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T15:30:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T15:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T15:50:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T16:00:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T16:10:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T16:20:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T16:30:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T16:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T16:50:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T17:00:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T17:10:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T17:20:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T17:30:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T17:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T17:50:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T18:00:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T18:10:00Z",0,0,0,0,0,0,6,25,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T18:20:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T18:30:00Z",0,0,0,0,0,0,6,25,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T18:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T18:50:00Z",0,0,0,0,0,0,6,25,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T19:00:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T19:10:00Z",0,0,0,0,0,0,6,25,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T19:20:00Z",0,0,0,0,0,0,6,25,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T19:30:00Z",0,0,0,0,0,0,6,25,NULL,NULL,7,32,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T19:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T19:50:00Z",0,0,0,0,0,0,6,25,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T20:00:00Z",0,0,0,0,0,0,6,25,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T20:10:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T20:20:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T20:30:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,28,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T20:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T20:50:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T21:00:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T21:10:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T21:20:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,28,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T21:30:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T21:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T21:50:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T22:00:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T22:10:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T22:20:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T22:30:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T22:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T22:50:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T23:00:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,22,NULL,0,0,0,0,0
"2022-07-24T23:10:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,21,NULL,0,0,0,0,0
"2022-07-24T23:20:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,21,NULL,0,0,0,0,0
"2022-07-24T23:30:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,21,NULL,0,0,0,0,0
"2022-07-24T23:40:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,21,NULL,0,0,0,0,0
"2022-07-24T23:50:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,19,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,21,NULL,0,0,0,0,0
"2022-07-25T00:00:00Z",0,0,0,0,0,0,6,24,NULL,NULL,7,31,NULL,0,18,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,21,NULL,0,0,0,0,0
"2022-07-25T00:10:00Z",0,0,0,0,0,0,6,23,NULL,NULL,7,31,NULL,0,18,NULL,0,0,1,0,1,0,0,27,39,0,0,0,0,27,15,0,0,80,95,40,65,100,200,60,8,NULL,NULL,NULL,NULL,NULL,0,228,32,NULL,0,21,NULL,0,0,0,0,0
